,luhn_algorithm summary
10,"Ask Jeeves tips online ad revival

Ask Jeeves has become the third leading online search firm this week to thank a revival in internet advertising for improving fortunes.

Analysts attributed the falls to excessive expectations in some quarters, fuelled by the dramatic outperformance of Google on Tuesday.
Late last year, marketing company Doubleclick, one of the leading providers of online advertising, warned that some or all of its business would have to be put up for sale.But on Thursday, it announced that a sharp turnaround had brought about an unexpected increase in profits.Its $17m profit for the quarter was dwarfed by the $204m announced by rival Google earlier in the week.During the same quarter, Yahoo earned $187m, again tipping a resurgence in online advertising.

The firm's revenue nearly tripled in the fourth quarter of 2004, exceeding $86m (Â£46m)."
11,"Indonesia's previous government, led by President Megawati Sukarnoputri, also attempted to cut subsidies in 2003, but was forced to back down in the face of public protests.
""The (January to March) quarter of this year is the best time for us to increase fuel prices,"" said Sri Mulyani Indrawati, State Minister for National Development Planning.Indonesia pays subsidies to importers in order to stabilise domestic fuel prices, but higher oil prices have forced the government to spend more on holding prices down.It spent 59.2 trillion rupiah ($6.58bn; Â£3.5bn) on fuel subsidies in 2004, a sum far in excess of its original projection of 14.5 trillion rupiah.The BBC's correspondent in Jakarta, Rachel Harvey, told World Business Report that there was likely to be a strong public reaction to any price rise.President Susilo Bambang Yudhoyono's government has said it wants to curb fuel subsidies and direct the money into aid programmes for the poor.Millions of people were left homeless in Indonesia Aceh's region following the earthquake and tsunami disaster in late December.

"
12,"Peugeot deal boosts Mitsubishi

Struggling Japanese car maker Mitsubishi Motors has struck a deal to supply French car maker Peugeot with 30,000 sports utility vehicles (SUV).

The deal with Peugeot was celebrated by Mitsubishi's newly-appointed chief executive Takashi Nishioka, who took over after three top bosses stood down last month to shoulder responsibility for the firm's troubles.Its sales have slid 41% in the past year, catalysed by the revelation that the company had systematically been hiding records of faults and then secretly repairing vehicles.US-German carmaker DaimlerChrylser, a 30% shareholder in Mitsubishi Motors, decided in April 2004 not to pump in any more money.Last month, it signed a production agreement with Japanese rival Nissan Motor to supply it with 36,000 small cars for sale in Japan.Falling sales have left Mitsubishi Motors with underused capacity, and the production deal with Peugeot gives it a chance to utilise some of it.

In January, Mitsubishi Motors issued its third profits warning in nine months, and cut its sales forecasts for the year to March 2005."
13,"In recent months News Corp's News International unit, which publishes The Sun and the News of the World, the Guardian Media Group, Trinity Mirror and the Daily Mail & General Trust have all announced substantial investments in new printing plants.
""They have shown a complete disregard for the consultative rights of our members,"" said Mr Fitzpatrick, who added that the company now planned to observe the consultation procedures.The Telegraph Group was bought by the Barclay twins - Frederick and David - last year, having previously been owned by Lord Conrad Black's Hollinger International.""Managers have torn up agreed procedures and kicked staff in the teeth by sacking people to pay for printing facilities,"" said Jeremy Dear, NUJ General Secretary.The cuts come against a background of fierce competition for readers and sluggish advertising revenues amid competition from online advertising.Telegraph newspapers axe 90 jobs

The Daily and Sunday Telegraph newspapers are axing 90 journalist jobs - 17% of their editorial staff.

NUJ official Barry Fitzpatrick said the company had ignored the 90-day consultation period required for companies planning more than 10 redundancies."
14,"The European Commission is facing two legal challenges - one from the European Low-fare Airlines Association (ELAA) and the other from the International Air Transport Association (IATA), which has attacked the package as a ""bad piece of legislation"".""We reckon it's going to cost European air passengers - not the airlines, the airlines have no money, it has to be paid by passengers - 1.5bn euros, that's over Â£1bn a year loaded onto European passengers,"" Mr Clarke said.Air passengers win new EU rights

Air passengers who are unable to board their flights because of overbooking, cancellations or flight delays can now demand greater compensation.

""It's a preposterous piece of legislation, we among all airlines are fighting this,"" Ryanair deputy chief executive Michael Cawley told Radio 4's Today programme.

Andy Clarke, ERAA director of air transport, said that the EC advice misleads customers as it leads them to believe that airlines could be liable for payouts if flights are delayed because of bad weather.

However, only scheduled flight operators were obliged to offer compensation in cases of overbooking and they did not have to offer compensation for flight cancellations.

Airlines fear that ""extraordinary circumstances"" may not include bad weather, security alerts or strikes - events which are outside of their control."
15,"Rapid tooling-up of China's manufacturing sector means a massive demand for energy - one of the factors which has kept world oil prices sky-high for most of this year.A low exchange rate - China's yuan is pegged to a rate of 8.28 to the dollar, which seems to be in relentless decline - means Chinese exports are cheap on world markets.China keeps tight rein on credit

China's efforts to stop the economy from overheating by clamping down on credit will continue into 2005, state media report.

In theory, the government has a 7% growth target, but continues to insist that the overshoot does not mean a ""hard landing"" in the shape of an overbalancing economy.Industrial output grew 15.7% in the year to October, down from 23% in February, and inflation slowed to 4.3% - although retail sales are still booming.
Growth in China remains at a breakneck 9.1%, and corporate investment is growing at more than 25% a year.The curbs were introduced earlier this year to ward off the risk that rapid expansion might lead to soaring prices."
16,"On Tuesday, the company's administrator, turnaround expert Enrico Bondi, sued Morgan Stanley, its former banker, to return 136m euros relating to a 2003 bond deal.Parmalat boasts doubled profits

Parmalat, the Italian food group at the centre of one of Europe's most painful corporate scandals, has reported a doubling in profit.

Its brands, well-known in Italy and overseas, have continued to perform strongly, however, and have barely lost revenue since the scandal broke.

But a crucial factor for the company's future is the legal unwinding of its intensely complex financial position.The firm sought bankruptcy protection in December 2003 after disclosing a 4bn-euro hole in its accounts.Its pre-tax earnings in the fourth quarter were 77m euros (Â£53m; $100m), up from 38m in the same period of 2003.That brought to 49 the number of banks that Mr Bondi has sued, a mass of legal action that could bring in as much as 3bn euros."
17,"India's rupee hits five-year high

India's rupee has hit a five-year high after Standard & Poor's (S&P) raised the country's foreign currency rating.

""The upgrade is positive and basically people will use it as an excuse to come back to India,"" said Bhanu Baweja, a strategist at UBS.""Money has moved out from India in the first two or three weeks of January into other markets like Korea and Thailand and this upgrade should lead to a reversal.""India's foreign currency rating is now one notch below investment grade, which starts at 'BBB-'.S&P, which rates borrowers' creditworthiness, lifted India's rating by one notch to 'BB+'.The increase has put it on the same level as Romania, Egypt and El Salvador, and one level below Russia.
With Indian assets now seen as less of a gamble, more cash is expected to flow into its markets, buoying the rupee.

"
18,"The Indian mobile market is currently dominated by four companies, Bharti Televentures which has allied itself with Singapore Telecom, Essar which is linked with Hong Kong-based Hutchison Whampoa, the Sterling group and the Tata group.
The decision to raise the limit for foreign investors faced considerable opposition from the communist parties, which give crucial support to the coalition headed by Prime Minister Manmohan Singh.""It is a positive development for carriers and the investment community, looking to take a longer-term view of the huge growth in the Indian telecoms market,"" said Gartner's principal analyst Kobita Desai.""The FDI relaxation coupled with rapid local market growth could really ignite interest in the Indian telecommunication industry,"" added Ernst and Young's Sanjay Mehta.Key positions, such as those of chief executive, chief technology officer and chief financial officer are to be held by Indians, he added.

India widens access to telecoms

India has raised the limit for foreign direct investment in telecoms companies from 49% to 74%.

Investment bank Morgan Stanley has forecast that India's mobile market is likely to grow by about 40% a year until 2007."
19,"In what Dimension Data calls an ""alarming development"", the average induction time for a call centre worker fell last year from 36 to just 21 days, leaving ""agents not equipped to deal with customers"".They give three key reasons for not making the move:

- call centre operations are part of their business ""core function"", 
 - they are worried about the risk of going abroad, 
 - they fear that they will damage their brand if they join the offshoring drive.When automated phone message systems are taken out of the equation, where customers have to pick their way through multiple options and messages, the number of abandoned calls is even higher - a sixth of all callers give up rather than wait.The survey was conducted by Sunovate on behalf of Dimension Data, and is based on in-depth questionnaires of 166 call centres in 24 countries and five continents.As a result, call centres have a high ""churn rate"", with nearly a quarter of workers throwing in the towel every year, which in turn forces companies to pay for training new staff.Suggestions that ""outsourcing"" - relocating call centres to low-cost countries like India or South Africa - is to blame are wrong, Ms Diemont says.

There are ""no big differences in wait time and call resolution"" between call centres based in Europe or North America and those in developing countries around the world."
20,"Since Mike Smith's appointment as chief executive in 1999, the group has focused on fewer businesses and embarked on a major cost-cutting programme which has seen it dispose of a number of businesses, including the Odeon cinema chain and the Pinewood studios.Last year it made profits of Â£21.5m on a turnover of Â£392.1m and experts suggest its success in moving to DVDs from VHS video could make it an attractive target for a private equity buyer.Rank 'set to sell off film unit'

Leisure group Rank could unveil plans to demerge its film services unit and sell its media business, reports claim.

Rank now aims to concentrate on its gaming, bars and hotels business, including extending its Hard Rock brand to its casinos - trials of which have been a success.Rank, formerly famous for the Carry On series, will expose the shake-up at the announcement of its results on Friday, the Sunday Telegraph reported.The move left the group with three core divisions: gaming, Hard Rock and Deluxe Films, which provides technical services to Hollywood studios.

It has now diversified into a range of other leisure activities - mainly in the UK - including hotels, roadside service areas and holiday centres."
21,"Strikes in a number of industries, notably among the country's iconic carmakers, have demonstrated the displeasure - as well as fears about further job losses as outsourcing takes hold.A controversial package of measures to shake up incentives to get back to work, paid for by cutting some cherished benefits, has sparked anger among some German workers.With unemployment stuck above 4 million for years, the government of Chancellor Gerhard Schroeder has put job creation at the top of the agenda.The seasonally adjusted rise showed a smaller rise than expected, as government measures to encourage job creation began to take effect.The scheme's formal launch is January, but hirings for these positions are already taking place and affecting the unemployment statistics, economists said.The number of people out of work in Europe's largest economy has risen for the tenth straight month as growth remains stubbornly slow.

""There are clear signs of a revival in domestic demand,"" said Frank-Juergen Weise, head of the Federal Labour Agency, in a statement."
22,"Despite the apparent shortfall in annual economic growth, the good quarterly figures - a so-called ""flash estimate"" - mark a continuing trend of improving indicators for the health of the French economy.Mixed signals from French economy

The French economy picked up speed at the end of 2004, official figures show - but still looks set to have fallen short of the government's hopes.

The government is reiterating a 2.5% target for 2005, while the European Central Bank is making positive noises for the 12-nation eurozone as a whole.According to state statistics body INSEE, growth for the three months to December was a seasonally-adjusted 0.7-0.8%, ahead of the 0.6% forecast.""They send a positive signal of a rebound in output... and open the way for a continuation in that trend into the New Year.""Also on Friday, France's industrial output for December was released, showing 0.7% growth.Service sector activity improved in January, hitting a seven-month high."
23,"The US consumer's appetite for all things from oil to imported cars, and even wine and cheese, reached record levels last year and the figures are likely to spark fresh criticism of President Bush's economic policies.

For example, they believe China's currency policy - which US manufacturers claim has undervalued the yuan by as much as 40% - has given China's rapidly expanding economy an unfair advantage against US competitors.

But others point out that the deficit has reached such astronomical proportions that foreigners many choose not to hold as many dollar-denominated assets, which may in turn harm growth.Meanwhile, the Bush administration argues that the US deficit reflects the fact the America is growing at faster rate than the rest of the world, spurring on more demand for imported goods.""We expect the deficit to continue to widen in 2005 even if the dollar gets back to its downward trend,"" said economist Marie-Pierre Ripert at IXIS.
Foreign oil exports surged by 35.7% to a record $180.7bn, reflecting the rally in global oil prices and increasing domestic demand.The Commerce Department said the trade deficit for all of last year was 24.4% above the previous record - 2003's imbalance of $496.5bn."
24,"Yukos had argued that a US court was entitled to declare it bankrupt before its Yugansk unit was sold, since it has local bank accounts and its chief finance officer Bruce Misamore lives in Houston.Yukos filed for Chapter 11 protection in Houston in an unsuccessful attempt to halt the auction of its Yugansk division by the Russian authorities.The US court's jurisdiction had been challenged by Deutsche Bank and Gazpromneft, a former unit of Russian gas monopoly Gazprom which is due to merge with Rosneft.In her ruling, the judge acknowledged that ""it appears likely that agencies of the Russian government have acted in a manner that would be considered confiscatory under United States law"".Yukos loses US bankruptcy battle

A judge has dismissed an attempt by Russian oil giant Yukos to gain bankruptcy protection in the US.

Analysts said the ability of Gazprom and Rosneft to trade freely overseas had been stifled while the ownership of Yugansk remained unclear.

Yukos claimed it sought help in the US because other forums - Russian courts and the European Court of Human Rights - were either unfriendly or offered less protection."
25,"In addition, the car giant is calling back 17,815 Buick Raniers, Chevrolet Trailblazers, GMC Envoys and Isuzu Ascenders from the 2005 model years because the windshield is not properly fitted and could fall out in a crash.The National Highway Traffic Safety Administration (NHTSA) said the largest recall involves 155,465 pickups, vans and sports utility vehicles (SUVs).Safety alert as GM recalls cars

The world's biggest carmaker General Motors (GM) is recalling nearly 200,000 vehicles in the US on safety grounds, according to federal regulators.

In January, GM said higher healthcare costs in North America, and lower profits at its financial services subsidiary would hurt its performance in 2005.
Those vehicles with potential faults are the Chevrolet Avalanche, Express, Kodiak, Silverade and Suburban; the GMC Savana, Sierra and Yukon.

The NHTSA said a pressure accumulator in the braking system could crack during normal driving and fragments could injure people if the hood was open.GM is also recalling 19,924 Cadillac XLR coupes, SRX SUVs and Pontiac Grand Prix sedans from the 2004 model year."
26,"Mr Mittal told US investors that once the acquisition of International Steel Group was completed, the company would aim to reduce its workforce by between 7,000 and 8,000 annually.A combination of Mittal Steel and ISG would have annual sales of $32bn (Â£16.7bn; 24.1bn euros) and a production capacity of 70 million tonnes.

The Netherlands-based company is due to complete its $4.5bn acquisition of US firm ISG next month, making it one of the largest global firms of its kind.It employs 50,000 staff in Kazakhstan alone, and has large operations in Romania, the Czech Republic, South Africa and the United States.
Steel firm 'to cut' 45,000 jobs

Mittal Steel, one of the world's largest steel producers, could cut up to 45,000 jobs over the next five years, its chief executive has said.

Mittal Steel was formed last year when Mr Mittal's LNM Holdings merged with Dutch firm Ispat.""We are investing in modernisation so employees will go down,"" Mr Mittal told the conference in Chicago.

"
27,"The US Department of Energy reported that crude stockpiles had fallen 1m barrels to 294.3m. On top of that, ongoing problems for beleaguered Russian oil giant Yukos have also prompted the IEA to revise its output estimates from Russia - a major non-Opec supplier.Strong demand triggers oil rally

Crude oil prices surged back above the $47 a barrel mark on Thursday after an energy market watchdog raised its forecasts for global demand.

The Paris-based IEA watchdog, which advises industrialized nations on energy policy, said the upward revision was due to stronger demand from China and other Asian countries.The fresh rally in crude prices followed gains on Wednesday which were triggered by large falls in US crude supplies following a cold spell in North America in January.The International Energy Agency (IEA) warned demand for Opec's crude in the first quarter would outstrip supply.""I think that prices are now beginning to set a new range and it looks like the $40 to $50 level,"" said energy analyst Orin Middleton of Barclays Capital.
The IEA raised its estimate of 2005 oil demand growth by 80,000 barrels a day to 84 million barrels a day."
28,"UK firm faces Venezuelan land row

Venezuelan authorities have said they will seize land owned by a British company as part of President Chavez's agrarian reform programme.

Critics say the powers - which President Chavez argues are needed to help the country's poorest citizens and develop the Venezuelan economy - trample all over private property rights.""

Controversial reforms passed in 2001 give the government the right to take control of private property if it is declared idle or ownership cannot be traced back to the 19th Century.

It recently said all mining contracts involving foreign firms would be examined to ensure they provided sufficient economic benefits to the state.
Under President Chavez, the Venezuelan government has steadily expanded the state's involvement in the country's economy.The firm, whose Agroflora subsidiary operates 13 farms in Venezuela, insisted that it had complied fully with Venezuelan law.""The legal boundaries did not match up with the actual boundaries and there is surplus,"" state prosecutor Alexis Ortiz told Reuters."
29,"""There are nonetheless good reasons to believe that despite recent oil price turbulence the world economy will regain momentum in a not-too-distant future,"" said Jean-Philippe Cotis, the OECD's chief economist.""Supported by strong balance sheets and high profits, the recovery of business investment should continue in North America and start in earnest in Europe,"" it added.Soaring oil 'hits world economy'

The soaring cost of oil has hit global economic growth, although world's major economies should weather the storm of price rises, according to the OECD.

The OECD highlighted current depressed household expenditure in Germany and the eurozone's over-reliance on export-led growth.
China's booming economy and a ""spectacular comeback"" in Japan - albeit one that has faltered in recent months - would help world economic recovery, the OECD said.If the oil price does not rise any further, then we think the shock can be absorbed within the next few quarters,"" Vincent Koen, a senior economist with the OECD, told the BBC's World Business Report.However, the report warned: ""It remains to be seen whether continental Europe will play a strong supportive role through a marked upswing of final domestic demand."""
30,"""Ireland ticks all the boxes as far as international investors are concerned,"" Roy Asher, chief investment officer of Hibernian Investment Managers, told Reuters.Irish markets reach all-time high

Irish shares have risen to a record high, with investors persuaded to buy into the market by low inflation and strong growth forecasts.

""Buoyant economic conditions are set to continue in Ireland over the next few years and Irish equities continue to offer quality growth at a reasonable valuation.Allied Irish Banks, Ireland's biggest company by capitalisation, touched a five year peak while Bank of Ireland shares rose to their highest level since August 2002.

""

Bernard McAlinden, head of equity research at NCB Stockbrokers, said equities represented good value compared to other investments.The ISEQ index of leading shares closed up 23 points to 6661.89 on Thursday, fuelled by strong growth in banking and financial stocks.Telecoms firm Eircom, which recently revealed that it would re-enter the Irish mobile phone market, hit a yearly high."
31,"Japanese banking battle at an end

Japan's Sumitomo Mitsui Financial has withdrawn its takeover offer for rival bank UFJ Holdings, enabling the latter to merge with Mitsubishi Tokyo.

Sumitomo bosses told counterparts at UFJ of its decision on Friday, clearing the way for it to conclude a 3 trillion yen ($29bn) deal with Mitsubishi.However, UFJ's management was known to prefer the offer from Mitsubishi Tokyo Financial Group (MTFG), Japan's second-largest bank.""Given the ongoing integration of UFJ and MTFG operations, persisting with our proposal may not be in the best interests of our shareholders or UFJ's.""

Mitsubishi's takeover of UFJ - which will be Japan's largest-ever takeover deal - will still have to be approved by shareholders of the two firms.Sumitomo, Japan's third-largest bank, tabled a higher offer for UFJ than its rival, valuing the company at $35bn.

Sumitomo may now turn its attention to deepening its ties with Daiwa Securities, another Japanese financial firm."
32,"However, some large properties are paying less in tax as they are situated inside poor areas, which benefit from cheaper utilities such as electricity and water, government research found.Rich grab half Colombia poor fund

Half of the money put aside by the Colombian government to help the country's poor is benefiting people who do not need it, a study has found.

Government expenditure in areas such as pensions, public services, education, property and health should be revised, Mr Leibovich said.""Resources are more than enough to reduce poverty and there is no need for more tax reforms but a better distribution,"" deputy planning director Jose Leibovich said.

A total of 24.2 trillion pesos ($10.2bn; Â£5.5bn) is earmarked for subsidies for the poor, the government department for planning said.With a good distribution of such subsidies and economic growth of just 2%, by 2019 poverty could fall as low as 15.3%, he said.
Sound distribution of the cash could cut poverty levels to 36% from 53%, the government believes."
33,"""SAIC is extremely concerned to ensure that its money is used to invest in the business rather than be distributed to the shareholders,"" the newspaper quotes a source close to the Chinese firm.Rover deal 'may cost 2,000 jobs'

Some 2,000 jobs at MG Rover's Midlands plant may be cut if investment in the firm by a Chinese car maker goes ahead, the Financial Times has reported.

Meanwhile, according to Chinese state press reports, small state-owned carmaker Nanjing Auto is in negotiations with Rover and SAIC to take a 20% stake in the joint venture.Shanghai Automotive Industry Corp plans to shift production of the Rover 25 to China and export it to the UK, sources close to the negotiations tell the FT.Transport & General Worker's Union general secretary Tony Woodley repeated his view on Friday that all mergers led to some job cuts.A tie-up, seen as Rover's last chance to save its Longbridge plant, has been pushed by UK Chancellor Gordon Brown.SAIC says none of its money will be paid to the four owners of Rover, who have been accused by unions of awarding themselves exorbitant salaries, the FT reports."
34,"Chief Executive Martin Sorrell on Friday told Reuters news agency that WPP had submitted a proposal for United Business Media's NOP World market research unit.Pre-tax profits rose 15% from a year ago to reach Â£546m ($1.04bn), ahead of average analysts' forecasts of Â£532m. Revenues were Â£4.3bn while the firm's operating margins were 14.1%, which it said could reach 14.8% by 2006.Ad firm WPP's profits surge 15%

UK advertising giant WPP has posted larger-than-expected annual profits and predicted that it will outperform the market in 2005.

Analysts say the unit sell could sell for up to Â£350m. WPP in recent years has also bought firms such as Ogilvy & Mather and Cordiant Communications.The company said the US Congressional elections and the FIFA World Cup are likely to present advertising opportunities in the near future.The long-term outlook looks ""very favourable"" because of media and technology developments and the strength of the US economy, WPP said.
During the year WPP bought US rival Grey Global, creating a giant big enough to rival sector leader Omnicom.

"
35,"US gives foreign firms extra time

Foreign firms have been given an extra year to meet tough new corporate governance regulations imposed by the US stock market watchdog.

but this extension will provide additional time for those issuers to take a good hard look at their internal controls,"" said Donald Nicolaisen, the SEC's chief accountant.
Big US firms already have to meet the requirements, but smaller ones and foreign-based firms which list their shares on US stock markets originally had until the middle of this year.

The SEC said it had taken into consideration the fact that foreign companies were already working to meet more onerous financial reporting rules in their home countries.Over the past few months, delegations of European and other business leaders have been heading to the SEC's Washington DC headquarters to protest.They say the burden is too expensive and the timescale too short and some, particularly the UK's CBI, warned that companies would choose to let their US listings drop rather than get in line with section 404.Section 404 of the Sox Act, as the legislation is nicknamed, calls for all firms to certify that their financial reporting is in line with US rules."
